Year,FWSColonyID,Str,PlotID,Lng,Lat,nNest,nActive
2023,ME.0605,SC,ca.1g,-69.7688778437714,44.382245399583816,7,0
2023,ME.0607,SC,cc.1i,-69.59966047068436,44.183311657695384,7,0
2023,ME.0608,Co,ck.1g,-68.57903909817014,44.16822313810423,29,0
2023,ME.0609,ND,c2.1g,-70.72855442387821,44.618799104500184,3,0
2023,ME.0611,SC,c8.1e,-69.97156335101131,44.5879178892929,12,0
2023,ME.0612,SC,cg.1c,-68.96675170576623,44.65835816324038,10,0
2023,ME.0613,SC,ch.1a,-68.68131852585967,44.77266795898766,6,0
2023,ME.0614,SC,ch.18,-68.6435611056006,44.876751581131444,4,0
2023,ME.0615,Co,cj.1c,-68.55930856874672,44.508321963749,0,0
2023,ME.0617,SC,cg.16,-68.74406542802727,45.166647924148855,0,0
2023,ME.0618,Co,cc.1k,-69.67753382005651,43.96981140402974,34,0
2023,ME.0619,SC,c9.1e,-69.88278311799735,44.61768085433436,15,0
2023,ME.0621,SC,cg.1b,-68.85298244886772,44.67275333025844,2,0
2023,ME.0622,SC,cg.1d,-69.03397054654293,44.51756085466265,6,0
2023,ME.0623,Co,cd.1j,-69.55627949494712,44.059024443595746,20,0
2023,ME.0624,SC,ce.1b,-69.12836835618916,44.76306961888317,10,0
2023,ME.0625,SC,ce.1a,-69.09094658088493,44.82313258280308,9,0
2023,ME.0626,ND,ce.15,-68.895970284243,45.210887266824784,2,0
2023,ME.0627,ND,c8.0v,-69.28134419390338,46.26219241081831,5,0
2023,ME.0628,SC,cj.18,-68.46640690260679,44.85011731358892,4,0
2023,ME.0629,SC,ce.1a,-69.13798045438443,44.84724491823217,1,0
2023,ME.0630,Co,cb.1m,-69.90639330427037,43.862514099898505,41,0
2023,ME.0631,SC,ca.1g,-69.81047100176795,44.41700716390349,1,0
2023,ME.0632,SC,cc.1c,-69.40302836450792,44.71153631141125,10,0
2023,ME.0633,SC,cd.1d,-69.3808166666151,44.614038975135536,4,0
2023,ME.0634,SC,cf.19,-69.0028217646079,44.87331257761385,4,0
2023,ME.0635,SC,cf.1a,-68.92132793718945,44.82169110527522,14,0
2023,ME.0636,SC,c9.1h,-69.91254715215038,44.304096640345875,34,29
2023,ME.0637,Co,cc.1n,-69.72333886792904,43.78410016112414,2,0
2023,ME.0638,ND,c4.17,-70.25495718128494,45.341744544890666,8,0
2023,ME.0639,ND,cd.17,-69.07228867107213,45.10537610846002,7,0
2023,ME.0640,SC,ci.19,-68.64973311572297,44.80877204530861,4,0
2023,ME.0641,ND,c2.1k,-70.96504366405712,44.250015294023925,3,0
2023,ME.0646,SC,c6.1w,-70.79594438643824,43.12331255568566,16,16
2023,ME.0647,SC,c6.1v,-70.78627301231913,43.17239480658522,0,0
2023,ME.0648,SC,cb.1f,-69.65058084812549,44.45036928581192,12,1
2023,ME.0649,SC,c4.1q,-70.87843328459618,43.65096012654422,2,0
2023,ME.0654,SC,ce.1c,-69.13809559039159,44.66084616446647,2,0
2023,ME.0655,SC,cf.18,-68.83826599594624,45.000634228126934,1,0
2023,ME.0656,SC,ca.1g,-69.85210496923409,44.38048518157998,14,14
2023,ME.0657,SC,ch.1b,-68.80242860974325,44.70234282078925,3,0
2023,ME.0658,SC,c8.1c,-69.93715633536661,44.806751611761094,8,0
2023,ME.0661,SC,ce.1c,-69.14522020936079,44.64150205245163,8,0
2023,ME.0662,Co,cm.1c,-68.16286933316535,44.40677882429005,1,1
2023,ME.0664,Co,cn.1c,-68.135627231326,44.391503014155205,0,0
2023,ME.0666,ND,cd.17,-69.0983242245157,45.10441241946526,8,0
2023,ME.0667,Co,cb.1m,-69.90146893975665,43.86638823076136,0,0
2023,ME.0668,Co,cr.17,-67.40750155735482,44.7039467666597,1,0
2023,ME.0669,Co,cl.1a,-68.31119838068719,44.61610679895359,24,0
2023,ME.0670,SC,c7.1n,-70.38015764624102,43.872015598132776,4,0
2023,ME.0671,SC,c6.1e,-70.17696626259155,44.62691234699785,2,0
2023,ME.0672,ND,c1.15,-70.49052676966679,45.52786416263978,2,0
2023,ME.0675,ND,cf.16,-68.88627806433837,45.16651755752532,3,0
2023,ME.0677,SC,cd.1c,-69.28756127145797,44.63164308932217,9,0
2023,ME.0678,SC,cg.1c,-68.9258009050918,44.57691785493771,8,0
2023,ME.0679,SC,c6.1o,-70.57556492297478,43.79130343730118,9,0
2023,ME.0680,SC,cd.1f,-69.36814248805574,44.41122535915664,1,0
2023,ME.0681,SC,cc.1f,-69.48380530332827,44.39428389486106,5,4
2023,ME.0682,ND,cn.19,-67.98673753252133,44.70299818312203,9,0
2023,ME.0683,SC,c9.1i,-69.99722335328103,44.30239829401717,0,0
2023,ME.0684,SC,ci.19,-68.56366489472461,44.7777110056727,3,0
2023,ME.0685,SC,cc.1d,-69.45583889916543,44.60152580849769,38,0
2023,ME.0686,SC,c4.1o,-70.76139016781904,43.86954716763509,1,0
2023,ME.0687,SC,c6.1m,-70.48004313095483,43.95628553910621,4,0
2023,ME.0688,SC,cf.1e,-69.0974648246239,44.457218876347795,2,0
2023,ME.0689,SC,c8.1e,-69.91692450830627,44.65564568359993,2,0
2023,ME.0690,SC,ce.1e,-69.29514363865275,44.4673957938272,3,0
2023,ME.0691,SC,ca.1h,-69.87831738953483,44.29498524102885,2,0
2023,ME.0692,SC,c4.1l,-70.71043505644651,44.07841701707042,25,14
2023,ME.0693,SC,c5.1n,-70.68170087915794,43.97690668434193,6,0
2023,ME.0694,SC,ch.1c,-68.76203841244401,44.611885758931564,1,0
2023,ME.0695,SC,cg.16,-68.7241082237019,45.15501408615687,2,0
2023,ME.0696,SC,ca.1c,-69.61414553285702,44.75937880163121,5,0
2023,ME.0697,SC,c8.1g,-70.0483204403154,44.502772008274235,10,0
2023,ME.0698,ND,c2.18,-70.52268011397233,45.2801380613895,4,0
2023,ME.0701,Co,cl.1b,-68.34365883864879,44.546374535831546,2,0
2023,ME.0702,SC,cc.1h,-69.60528042147126,44.290432622887664,3,0
2023,ME.0703,SC,c4.1r,-70.83576430437759,43.585584670873956,0,0
2023,ME.0704,SC,c6.1r,-70.618236172591,43.53145587508392,1,0
2023,ME.0705,Co,ch.1g,-68.9646752028284,44.252087232718274,21,0
2023,ME.0706,ND,ca.18,-69.4954141395691,45.06491497829204,4,0
2023,ME.0707,Co,cn.1c,-68.02224180329665,44.43655279173638,9,0
2023,ME.0708,ND,ca.14,-69.4137595775267,45.40813365687462,1,0
2023,ME.0709,ND,ca.17,-69.49578401575585,45.179171184574486,4,0
2023,ME.0710,ND,c1.1c,-70.77966823936262,44.97189976894184,10,0
2023,ME.0711,Co,cc.1l,-69.73448831082817,43.887738869079044,4,0
2023,ME.0712,ND,ci.0n,-67.7898229381734,46.667795542457675,1,0
2023,ME.0713,SC,c2.1l,-70.96372130857728,44.13534376437129,19,0
2023,ME.0714,ND,c6.1j,-70.41268861683207,44.27675570017194,1,0
2023,ME.0715,SC,c4.1p,-70.8178387369636,43.81805520403207,5,0
